alpha0,alpha1,alpha2,alpha3,Cx0Mean,Cy0Mean,Cm0Mean, Cx1Mean,Cy1Mean,Cm1Mean, Cx2Mean,Cy2Mean,Cm2Mean, Cx3Mean,Cy3Mean,Cm3Mean,Flag,,,SumCx,SumCy
-3,-2,-8,-20,0.786744,0.748917,-0.250074,1.234498,1.060034,-0.289495,2.569047,2.230408,-0.510548,0.757092,1.32006,-0.368789,NOTCONVERGED,,,5.347381,5.359419
-1,-2,-8,-20,2.048617,1.312324,-0.349491,1.119308,0.990878,-0.274198,2.262049,2.117429,-0.501291,0.799574,1.324914,-0.348856,NOTCONVERGED,,,6.229548,5.745545
1,-2,-8,-20,2.025569,1.269276,-0.356952,1.196076,0.99641,-0.267915,2.324415,2.159172,-0.511273,1.246991,1.601699,-0.320275,NOTCONVERGED,,,6.793051,6.026557
3,-2,-8,-20,1.921064,1.194862,-0.354671,1.20789,1.000812,-0.268549,2.33657,2.155466,-0.510056,1.26083,1.612357,-0.322224,NOTCONVERGED,,,6.726354,5.963497
5,-2,-8,-20,1.805256,1.114829,-0.350391,1.221542,1.005981,-0.269372,2.352038,2.152866,-0.509299,1.276644,1.62372,-0.323769,NOTCONVERGED,,,6.65548,5.897396
-5,0,-8,-20,0.712737,0.755566,-0.256693,1.124755,0.964401,-0.280176,2.645816,2.276648,-0.515329,0.738913,1.311104,-0.37293,NOTCONVERGED,,,5.222221,5.307719
-3,0,-8,-20,0.78332,0.744162,-0.247628,1.116909,0.958745,-0.27874,2.549485,2.215117,-0.507378,0.744607,1.313803,-0.37164,NOTCONVERGED,,,5.194321,5.231827
-1,0,-8,-20,2.0298,1.305261,-0.347518,1.006282,0.891767,-0.263615,2.246261,2.10356,-0.497894,0.778482,1.314573,-0.353735,NOTCONVERGED,,,6.060825,5.615161
1,0,-8,-20,1.94341,1.239243,-0.347607,1.01477,0.89627,-0.264542,2.256213,2.100819,-0.497192,0.778802,1.314821,-0.354232,NOTCONVERGED,,,5.993195,5.551153
3,0,-8,-20,1.836726,1.163302,-0.34471,1.023698,0.901486,-0.265775,2.266248,2.095632,-0.495674,0.772896,1.31462,-0.35677,NOTCONVERGED,,,5.899568,5.47504
5,0,-8,-20,1.718596,1.081621,-0.339619,1.034307,0.907386,-0.266983,2.278464,2.090454,-0.494125,0.770838,1.315307,-0.358523,NOTCONVERGED,,,5.802205,5.394768
-5,-10,-6,-20,0.763223,0.803946,-0.273334,1.616319,1.406011,-0.312453,2.526147,2.168892,-0.519988,0.77497,1.333434,-0.36324,NOTCONVERGED,,,5.680659,5.712283
-3,-10,-6,-20,0.8474,0.79606,-0.264325,1.607067,1.399911,-0.311584,2.43753,2.113186,-0.512426,0.777627,1.335854,-0.362485,NOTCONVERGED,,,5.669624,5.645011
-1,-10,-6,-20,2.125402,1.363217,-0.365826,1.496446,1.330331,-0.297859,2.165176,2.017903,-0.505533,0.879101,1.371078,-0.333098,NOTCONVERGED,,,6.666125,6.082529
1,-10,-6,-20,2.134346,1.325257,-0.375908,1.436928,1.163719,-0.248351,2.268461,2.088594,-0.522847,1.743328,2.069527,-0.376814,NOTCONVERGED,,,7.583063,6.647097
3,-10,-6,-20,1.921177,1.214235,-0.36223,1.513245,1.339098,-0.299623,2.187595,2.012571,-0.503334,0.860207,1.363366,-0.338392,NOTCONVERGED,,,6.482224,5.92927
5,-10,-6,-20,1.79648,1.128677,-0.356558,1.523149,1.34471,-0.300789,2.200935,2.008944,-0.501915,0.847931,1.358513,-0.341535,NOTCONVERGED,,,6.368495,5.840844
-5,-8,-6,-20,0.761342,0.800752,-0.271774,1.55057,1.338946,-0.311658,2.51862,2.162586,-0.518789,0.773924,1.332612,-0.364844,NOTCONVERGED,,,5.604456,5.634896
-3,-8,-6,-20,0.845886,0.793159,-0.262668,1.539218,1.331572,-0.310433,2.428554,2.105891,-0.510898,0.777048,1.335007,-0.363878,NOTCONVERGED,,,5.590706,5.565629
-1,-8,-6,-20,2.218464,1.389282,-0.374172,1.459539,1.161355,-0.260307,2.263324,2.094103,-0.524478,1.77456,2.104077,-0.383818,NOTCONVERGED,,,7.715887,6.748817
1,-8,-6,-20,2.129597,1.324695,-0.375676,1.469855,1.17364,-0.263772,2.262258,2.084632,-0.521822,1.72078,2.051693,-0.373859,NOTCONVERGED,,,7.58249,6.63466
