#nWings;aws;awa;alpha0;alpha1;alpha2;alpha3;center0;center1;center2;center3;backgroundMesh;profileMesh0;profileMesh1;profileMesh2;profileMesh3;targetMesh;targetCase;Account;cores;walltime;DirName;jobNameID;Cx0Mean;Cx0Var;Cy0Mean;Cy0Var;Cm0Mean;Cm0Var; Cx1Mean;Cx1Var;Cy1Mean;Cy1Var;Cm1Mean;Cm1Var; Cx2Mean;Cx2Var;Cy2Mean;Cy2Var;Cm2Mean;Cm2Var; Cx3Mean;Cx3Var;Cy3Mean;Cy3Var;Cm3Mean;Cm3Var;;;;Total ;1284
4;7.7;51.3;-5;0;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID30;Case3_Run0to250_ID30;0.686449;0.000858;0.734781;0.001089;-0.251544;0.000456;1.116546;0.000437;0.958924;0.001173;-0.278744;0.000599;2.809996;0.001566;2.4218;0.002014;-0.516083;0.000903;0.73927;0.011665;1.307924;0.02196;-0.370916;0.006747;NOTCONVERGED;;;;
4;7.7;51.3;-3;0;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID31;Case3_Run0to250_ID31;0.7465;0.000566;0.718378;0.000774;-0.24194;0.000404;1.110896;0.000459;0.954539;0.001135;-0.277623;0.000579;2.709655;0.000745;2.357732;0.001179;-0.509659;0.000477;0.745261;0.01148;1.311629;0.022156;-0.370208;0.00691;NOTCONVERGED;;;;
4;7.7;51.3;-1;0;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID32;Case3_Run0to250_ID32;2.016128;0.000325;1.280403;0.000411;-0.338928;0.000218;0.998211;0.000516;0.886065;0.000901;-0.262102;0.000429;2.374716;0.000303;2.23256;0.000564;-0.501037;0.0002;0.782883;0.008313;1.31306;0.020869;-0.35072;0.008104;NOTCONVERGED;;;;
4;7.7;51.3;1;0;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID33;Case3_Run0to250_ID33;1.940079;0.000582;1.221064;0.000453;-0.340953;0.000218;1.006556;0.000601;0.890438;0.000954;-0.263007;0.000455;2.381231;0.000367;2.227314;0.000576;-0.499823;0.000236;0.78455;0.008589;1.314955;0.021295;-0.351641;0.008282;NOTCONVERGED;;;;
4;7.7;51.3;3;0;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID34;Case3_Run0to250_ID34;1.837075;0.000486;1.148481;0.000467;-0.338758;0.000215;1.015142;0.000642;0.895539;0.001008;-0.264174;0.000488;2.388417;0.000309;2.219344;0.000584;-0.497914;0.000252;0.778333;0.009136;1.314078;0.022178;-0.354025;0.008486;NOTCONVERGED;;;;
4;7.7;51.3;5;0;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID35;Case3_Run0to250_ID35;1.721973;0.000354;1.070036;0.000379;-0.33455;0.000193;1.024544;0.000504;0.900748;0.000968;-0.265241;0.00047;2.397372;0.000328;2.211354;0.00059;-0.49614;0.000217;0.773681;0.009237;1.313602;0.021683;-0.356002;0.008082;NOTCONVERGED;;;;
4;7.7;51.3;-5;-10;-8;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID36;Case3_Run0to250_ID36;0.729677;0.000498;0.777924;0.000747;-0.26696;0.000336;1.607898;0.000467;1.400707;0.001442;-0.311506;0.00069;2.725637;0.000977;2.338672;0.001045;-0.527355;0.000462;0.772191;0.010043;1.328117;0.021953;-0.361188;0.007712;NOTCONVERGED;;;;
4;7.7;51.3;-3;-10;-8;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID37;Case3_Run0to250_ID37;0.797802;0.00079;0.76306;0.000648;-0.25738;0.000275;1.599983;0.0004;1.395028;0.00141;-0.310544;0.000672;2.630136;0.001217;2.278048;0.001551;-0.520431;0.000709;0.776516;0.009829;1.33047;0.022194;-0.359818;0.008058;NOTCONVERGED;;;;
4;7.7;51.3;-1;-10;-8;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID38;Case3_Run0to250_ID38;2.11503;0.000166;1.337725;0.000354;-0.357278;0.000156;1.486135;0.000366;1.320959;0.000455;-0.295564;0.000187;2.31322;0.000412;2.162684;0.000419;-0.51204;0.000143;0.900504;0.003705;1.380067;0.01051;-0.327896;0.004499;NOTCONVERGED;;;;
4;7.7;51.3;1;-10;-8;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID39;Case3_Run0to250_ID39;2.133287;0.000869;1.302877;0.000424;-0.367787;0.000218;1.393205;0.013108;1.127838;0.010517;-0.240271;0.002421;2.42482;0.001697;2.238261;0.001133;-0.529965;0.000369;1.795809;0.009819;2.119059;0.006554;-0.386937;0.001097;NOTCONVERGED;;;;
